mz,rel.intensity,sample,fullsample,,,
735.5558611,0.6,ko6,ko6_1,,,
737.5236642,0.66,ko6,ko6_1,,,
744.5279754,0.34,ko6,ko6_1,,,
754.5028912,0.45,ko6,ko6_1,,,
758.5703977,0.54,ko6,ko6_1,,,
761.5316024,0.78,ko6,ko6_1,,,
762.5443041,1.34,ko6,ko6_1,,,
763.5464057,0.46,ko6,ko6_1,,,
768.5463136,3.5,ko6,ko6_1,,,
773.5629216,1.04,ko6,ko6_1,,,
775.4633246,1.07,ko6,ko6_1,,,
775.5471248,2.94,ko6,ko6_1,,,
775.5689248,0.5,ko6,ko6_1,,,
775.5966248,0.99,ko6,ko6_1,,,
778.5561296,1.02,ko6,ko6_1,,,
778.5742296,1.09,ko6,ko6_1,,,
780.5184327,0.84,ko6,ko6_1,,,
780.5724328,0.56,ko6,ko6_1,,,
781.5475343,0.65,ko6,ko6_1,,,
790.5391487,1.47,ko6,ko6_1,,,
794.534055,0.85,ko6,ko6_1,,,
797.5812599,0.83,ko6,ko6_1,,,
799.527563,1.27,ko6,ko6_1,,,
808.5498773,0.99,ko6,ko6_1,,,
822.5654997,0.81,ko6,ko6_1,,,
859.5476586,0.72,ko6,ko6_1,,,
859.6904588,0.52,ko6,ko6_1,,,
909.6373384,0.49,ko6,ko6_1,,,
917.540051,0.49,ko6,ko6_1,,,
920.5497558,0.42,ko6,ko6_1,,,
540.3302501,0.61,ko6,ko6_2,,,
716.5151307,0.69,ko6,ko6_2,,,
728.5509499,0.81,ko6,ko6_2,,,
728.5713499,0.76,ko6,ko6_2,,,
729.5628515,1.14,ko6,ko6_2,,,
730.5655531,0.3,ko6,ko6_2,,,
731.5426547,0.83,ko6,ko6_2,,,
732.4128561,0.95,ko6,ko6_2,,,
732.5464563,0.5,ko6,ko6_2,,,
735.5561611,0.55,ko6,ko6_2,,,
740.514969,0.58,ko6,ko6_2,,,
744.5280754,0.27,ko6,ko6_2,,,
752.5594882,5.67,ko6,ko6_2,,,
754.5026912,0.6,ko6,ko6_2,,,
757.5686961,0.49,ko6,ko6_2,,,
758.5704977,0.55,ko6,ko6_2,,,
762.5441041,1.31,ko6,ko6_2,,,
763.5463057,0.55,ko6,ko6_2,,,
773.5329216,3.53,ko6,ko6_2,,,
775.4630246,0.61,ko6,ko6_2,,,
775.5697248,0.4,ko6,ko6_2,,,
778.5564296,0.91,ko6,ko6_2,,,
779.5416311,1.55,ko6,ko6_2,,,
780.5727328,0.64,ko6,ko6_2,,,
781.5850344,0.76,ko6,ko6_2,,,
796.5498582,1.18,ko6,ko6_2,,,
797.5809599,1.01,ko6,ko6_2,,,
797.65416,0.84,ko6,ko6_2,,,
798.6580616,0.31,ko6,ko6_2,,,
799.527463,1.01,ko6,ko6_2,,,
810.5651806,1.4,ko6,ko6_2,,,
850.5752443,0.46,ko6,ko6_2,,,
859.6907588,0.27,ko6,ko6_2,,,
865.5467681,0.76,ko6,ko6_2,,,
871.5705777,3.23,ko6,ko6_2,,,
909.6371384,0.34,ko6,ko6_2,,,
917.539951,0.4,ko6,ko6_2,,,
920.5503558,0.39,ko6,ko6_2,,,
509.2882006,0.87,ko7,ko7_1,,,
522.2834213,1.15,ko7,ko7_1,,,
544.2677564,0.42,ko7,ko7_1,,,
546.2834596,0.44,ko7,ko7_1,,,
665.4271494,0.54,ko7,ko7_1,,,
691.5022909,0.53,ko7,ko7_1,,,
716.5148307,0.56,ko7,ko7_1,,,
728.5512499,0.8,ko7,ko7_1,,,
728.5712499,0.78,ko7,ko7_1,,,
730.5660531,0.25,ko7,ko7_1,,,
731.5616547,0.34,ko7,ko7_1,,,
732.5465563,0.4,ko7,ko7_1,,,
740.514569,0.48,ko7,ko7_1,,,
743.5339738,0.77,ko7,ko7_1,,,
744.5282754,0.25,ko7,ko7_1,,,
757.5683961,0.52,ko7,ko7_1,,,
758.5705977,0.56,ko7,ko7_1,,,
761.5317024,0.48,ko7,ko7_1,,,
773.5326216,2.94,ko7,ko7_1,,,
773.5631216,0.96,ko7,ko7_1,,,
776.5600264,3.18,ko7,ko7_1,,,
781.5468343,0.36,ko7,ko7_1,,,
782.5341359,1,ko7,ko7_1,,,
797.5811599,0.9,ko7,ko7_1,,,
798.6573616,0.3,ko7,ko7_1,,,
810.5654806,1.09,ko7,ko7_1,,,
850.5755443,0.39,ko7,ko7_1,,,
859.6902588,0.31,ko7,ko7_1,,,
920.5502558,0.31,ko7,ko7_1,,,
453.2811114,0.4,ko7,ko7_2,,,
546.2837596,0.31,ko7,ko7_2,,,
730.5393531,1.31,ko7,ko7_2,,,
730.5658531,0.36,ko7,ko7_2,,,
732.5459563,0.45,ko7,ko7_2,,,
735.5560611,0.39,ko7,ko7_2,,,
753.5843898,0.7,ko7,ko7_2,,,
758.5706977,0.48,ko7,ko7_2,,,
763.5466057,0.34,ko7,ko7_2,,,
765.5184088,1.81,ko7,ko7_2,,,
775.4631246,0.88,ko7,ko7_2,,,
775.5690248,0.42,ko7,ko7_2,,,
778.5737296,1.1,ko7,ko7_2,,,
781.5470343,0.38,ko7,ko7_2,,,
781.5851344,0.69,ko7,ko7_2,,,
790.5389487,1.65,ko7,ko7_2,,,
794.533855,0.42,ko7,ko7_2,,,
797.65426,0.86,ko7,ko7_2,,,
850.5756443,0.32,ko7,ko7_2,,,
859.6905588,0.36,ko7,ko7_2,,,
509.2882505,0.79,ko8,ko8_1,,,
522.283466,1.38,ko8,ko8_1,,,
524.2991684,3.54,ko8,ko8_1,,,
540.3303876,0.57,ko8,ko8_1,,,
544.2679923,0.51,ko8,ko8_1,,,
546.2835947,0.47,ko8,ko8_1,,,
555.2726054,0.34,ko8,ko8_1,,,
591.4029486,0.91,ko8,ko8_1,,,
617.4186797,1.32,ko8,ko8_1,,,
662.4401334,1.05,ko8,ko8_1,,,
664.4559359,15.76,ko8,ko8_1,,,
665.427337,0.42,ko8,ko8_1,,,
665.4591371,5.4,ko8,ko8_1,,,
676.4557502,0.57,ko8,ko8_1,,,
678.4713526,1.42,ko8,ko8_1,,,
691.5023682,0.39,ko8,ko8_1,,,
716.5148981,0.56,ko8,ko8_1,,,
725.5620089,0.37,ko8,ko8_1,,,
727.5473112,1.59,ko8,ko8_1,,,
728.5511124,0.76,ko8,ko8_1,,,
728.5714125,0.8,ko8,ko8_1,,,
729.5627136,1,ko8,ko8_1,,,
730.5394148,1.67,ko8,ko8_1,,,
730.5661148,0.37,ko8,ko8_1,,,
731.543016,0.94,ko8,ko8_1,,,
732.412817,1.14,ko8,ko8_1,,,
732.5466172,0.5,ko8,ko8_1,,,
735.5162208,0.88,ko8,ko8_1,,,
735.5559208,0.49,ko8,ko8_1,,,
740.5148267,0.59,ko8,ko8_1,,,
744.5283315,0.31,ko8,ko8_1,,,
751.5394399,8.62,ko8,ko8_1,,,
752.5595411,5.29,ko8,ko8_1,,,
754.5027434,0.29,ko8,ko8_1,,,
758.5705483,0.62,ko8,ko8_1,,,
761.5319518,0.68,ko8,ko8_1,,,
762.544153,1.09,ko8,ko8_1,,,
763.5465542,0.41,ko8,ko8_1,,,
765.5182566,1.72,ko8,ko8_1,,,
768.5462602,3.46,ko8,ko8_1,,,
773.5326662,3.01,ko8,ko8_1,,,
773.5631662,0.97,ko8,ko8_1,,,
774.4597673,2.96,ko8,ko8_1,,,
775.4632685,1.02,ko8,ko8_1,,,
775.5472686,2.91,ko8,ko8_1,,,
775.5963686,0.88,ko8,ko8_1,,,
776.5598698,2.96,ko8,ko8_1,,,
778.5569722,1.02,ko8,ko8_1,,,
778.5739722,1.05,ko8,ko8_1,,,
779.5415733,1.59,ko8,ko8_1,,,
780.5711746,0.51,ko8,ko8_1,,,
781.5476757,0.63,ko8,ko8_1,,,
781.5848758,0.68,ko8,ko8_1,,,
782.5341769,1.64,ko8,ko8_1,,,
790.5391865,1.65,ko8,ko8_1,,,
794.5341913,0.95,ko8,ko8_1,,,
797.5811949,0.96,ko8,ko8_1,,,
797.654095,0.85,ko8,ko8_1,,,
798.6575962,0.23,ko8,ko8_1,,,
799.5276972,1.14,ko8,ko8_1,,,
808.549908,1.13,ko8,ko8_1,,,
810.5653104,1.81,ko8,ko8_1,,,
822.5653248,0.76,ko8,ko8_1,,,
850.5754582,0.53,ko8,ko8_1,,,
857.6756667,0.81,ko8,ko8_1,,,
859.5479689,0.62,ko8,ko8_1,,,
859.6906691,0.35,ko8,ko8_1,,,
865.5465761,0.62,ko8,ko8_1,,,
869.5550809,3.34,ko8,ko8_1,,,
871.5706833,2.87,ko8,ko8_1,,,
909.6371288,0.4,ko8,ko8_1,,,
917.5402382,0.35,ko8,ko8_1,,,
920.5513418,0.28,ko8,ko8_1,,,
509.2884505,0.92,ko8,ko8_2,,,
522.283666,1.63,ko8,ko8_2,,,
524.2993684,3.92,ko8,ko8_2,,,
540.3305876,0.58,ko8,ko8_2,,,
544.2680923,0.64,ko8,ko8_2,,,
546.2837947,0.62,ko8,ko8_2,,,
555.2728054,0.43,ko8,ko8_2,,,
591.4030486,0.81,ko8,ko8_2,,,
617.4187797,1.13,ko8,ko8_2,,,
662.4403334,1.12,ko8,ko8_2,,,
665.4592371,3.89,ko8,ko8_2,,,
676.4559502,0.7,ko8,ko8_2,,,
678.4714526,1.26,ko8,ko8_2,,,
691.5026682,0.34,ko8,ko8_2,,,
701.5239801,0.54,ko8,ko8_2,,,
716.5151981,0.59,ko8,ko8_2,,,
725.5622089,0.42,ko8,ko8_2,,,
727.5472112,1.65,ko8,ko8_2,,,
728.5510124,0.81,ko8,ko8_2,,,
729.5626136,0.99,ko8,ko8_2,,,
730.5395148,1.51,ko8,ko8_2,,,
